FEN,eval
rnbr2k1/pp2ppbp/5np1/2p5/2P1P3/2N1BP2/PP4PP/R3KBNR w KQ - 0 9,0.15
4rnk1/p1p2ppp/1p1p4/4r1P1/8/2PPB2R/PPK2PP1/3R4 b - - 1 22,-0.14
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.15
rn1q1rk1/pb2bppp/1pp1p3/3n4/3P4/P1NBPN2/1P3PPP/R1BQK2R w KQ - 2 10,0.16
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.12
1r4k1/2q1bp1p/3p2p1/3Qp1Pn/1p2P1RP/3N1P2/PpPB4/1K6 b - - 1 32,0.26
3r2k1/1p1q1pb1/4p1np/1PPp2p1/r2P4/2NQ1N1P/5PP1/3R2K1 w - - 0 26,0.19
r3rbk1/1bpq1ppp/p1np1n2/1p2p3/P2PP3/1BP2N1P/1P1N1PP1/R1BQR1K1 w - - 1 13,0.07
3rrbk1/pppq1bpp/1np2p2/4p3/PPP1P1P1/3PNN1P/5P2/RQ1RB1K1 b - - 0 18,0.13
r2q1rk1/1ppb1pbp/3p1np1/p1nPp3/2P5/1PN3P1/PB1NPPBP/R2Q1RK1 b - - 4 11,0.21
2r1rnk1/pp3p1p/2b3p1/3pP1q1/1P2p3/4P3/PB1QBPPP/2RR2K1 b - - 0 19,-0.23
r1b2rk1/pp1n1ppp/5n2/q2p1BB1/1bpP4/2N1PN2/PPQ2PPP/R4RK1 b - - 3 11,-0.18
r2q1rk1/pppbppbp/3p1np1/3Pn3/2P1P3/2N1B3/PP2BPPP/R2QK1NR w KQ - 1 10,0.24
r4rk1/1ppbq1b1/3p4/p2Ppp1p/2P2P1P/4B2R/PP1QN1P1/1K1R4 b - - 2 21,-0.09
5k2/5pp1/4n3/1pPN4/1P2P3/2b1BP1r/r5R1/3R2K1 b - - 12 43,-2.74
2rq1rk1/5pp1/p2pp2p/1p6/3NbPPb/3Q4/PPP4P/1K1R2R1 w - - 0 19,-0.76
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-0.12
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-0.26
2r3k1/Q4pb1/Rnq3pp/4p3/3P4/2N1P1P1/P2B1P1P/6K1 b - - 2 32,-4.24
6k1/p1r1bpp1/p3pn1p/2q5/2B5/1P2NQ1P/5PP1/3R2K1 w - - 0 25,-0.74
r2q1rk1/pp3ppp/3b1n2/2np4/8/1N6/PPP1NPPP/R1BQ1RK1 w - - 4 11,-0.18
2kr4/p1p1brpp/8/2ppR3/5P2/3P4/PPP2PKP/1RB5 b - - 4 19,-0.23
3r4/ppq2rkp/3n1pp1/n2p4/PQpP1RP1/B1P1P3/2B3PP/5RK1 b - - 8 22,0.19
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.12
6k1/1b4p1/pp3q1p/2rp4/4p3/1P2P1PB/P2Q1P1P/3R2K1 w - - 0 27,-0.04
7k/8/p4P2/1p1nP2p/2p3q1/2P5/PPBQ2PK/8 b - - 0 43,-6.55
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.15
3R4/p1kb4/2p2r2/4p1p1/1Pp1B1p1/2K1P1Pp/P1P4P/8 w - - 0 36,-0.47
1r2q1bk/6p1/4N1rp/4Q3/1P2p2b/1BP5/R4PPP/5R1K w - - 1 43,2.55
r4rk1/pp2bpp1/1nq1p2p/4P3/2P1N2P/1P1Q4/P2B2P1/1K1R3R b - - 0 21,0.0
5rk1/p1qrnpb1/b5p1/2B1p2p/2P1P3/3P2PP/PN3QB1/R4RK1 w - - 3 23,0.31
6r1/pp4bp/2k1pr2/3p4/3R1P2/3B2P1/PPP4P/1K5R w - - 0 27,0.91
1n1r1br1/pkpq3p/1p2pp2/1P1p1n2/P2P4/3P1NNQ/3B1PPP/R3R1K1 b - - 5 18,-0.67
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.14
r1b2rk1/pp2ppbp/1qn2np1/8/1PB2B2/P3PN1P/3N1PP1/2RQK2R b K - 2 12,-0.02
3q1nk1/5ppp/1pNp4/1Pn5/2P1BP2/3r2P1/1Q5P/4R1K1 b - - 6 30,-5.0
2rr2k1/p3qpp1/1p1p3p/2p5/2PPb3/PnP1P2Q/4BBPP/1R1R2K1 b - - 3 23,1.85
4K1k1/5p2/2q5/6PP/5Q2/8/8/8 w - - 65 96,0.0
r2qkb1r/pp3p1p/2p2p2/n2p1b2/Q2P4/2N1PN2/PP3PPP/R3KB1R b KQkq - 0 10,0.16
1Q6/2r1kp1p/7P/2q1p1p1/4P3/6P1/5PK1/R7 b - - 4 42,-0.23
1k1r3r/1p2q2n/pP6/P2pPBp1/2pP1p2/2P5/5RQP/4R1K1 b - - 3 39,0.0
